PValue
SMAD3	-15.43935699
KRT80	-15.08195926
MMP3	14.9572999
SLC2A1	-14.84659619
ARHGAP29	-14.49131666
ENO2	-14.20482811
BNIP3L	-13.78162937
HK2	-13.62239577
TP53I11	-13.59824914
MARCKS	-13.53729764
LCP1	13.40057645
ENAH	-12.87233831
DDIT4	-12.57612375
LDHA	-12.38604143
CYR61	-12.27894479
RGS4	12.21031191
KRT7	-11.96816575
ASS1	-11.89174489
PGK1	-11.86642362
PFKFB4	-11.8549231
TMSB4X	-11.71868125
CD274	11.71864544
PDK1	-11.70217464
KDM3A	-11.61521459
DSP	-11.40238432
UNC13A	-11.28354176
KRT7-AS	-11.09877034
HSPH1	11.07523118
ALDOA	-11.03370016
ALDOC	-10.85427264
RASSF8	-10.61748383
IGFBP2	-10.47621086
SH3TC2	10.45202422
TNIP1	-10.30464421
BHLHE40	-10.17627217
RRAGA	-10.03773972
COBL	-10.02473706
ATP9A	-10.02389597
CA9	-10.01084289
MYEOV	-9.90562681
BTBD2	-9.858704815
POU2F2	-9.821465963
BCKDHA	-9.800584569
MIR210HG	-9.717512072
P4HA1	-9.705182657
SPP1	9.679175164
AMOTL1	9.620793485
TMCC3	9.5740154
CHRM3	9.492827191
PDE4B	-9.460133329
TIMP2	-9.458683939
GNAL	-9.216385004
PIM1	-9.20908423
TPM2	-9.17938113
HGF	-9.149805657
PPP1R3B	-9.065621493
GRB10	-8.953976571
LINC-PINT	-8.902675578
H6PD	-8.815043988
H1F0	-8.720464733
PARP10	-8.653160655
TNFSF15	-8.638857533
MYOF	-8.605914701
HMGN1	8.551215497
MICALCL	8.527647087
HSPA8	8.523906154
F2R	-8.506201473
IDH2	-8.454998894
BTG1	-8.423288341
ETS1	-8.391693077
STAP2	-8.345643832
SDC3	-8.338659989
EGLN1	-8.276045706
B4GALT6	8.274605428
MAT2A	8.257892366
MRPL52	8.129579217
RRAS	-8.101112189
KDM4B	-8.092004989
COL6A3	8.077072993
BIRC3	-8.039717272
SLC4A8	8.032279716
CDC42EP3	-7.979362166
TXNRD1	-7.973151168
UBC	-7.956157986
SNX33	-7.953281511
FOXN3	-7.907777247
NFIL3	-7.875551799
CCNG2	-7.862636473
MAFF	-7.804526131
CHORDC1	7.775028985
CAV1	-7.768092718
UTP20	7.744107387
MMP1	7.743050976
SLC16A9	-7.732760486
PLK2	-7.702959517
ANKRD50	7.675764462
SEMA4B	-7.637276194
ST3GAL5	-7.620146178
TXNIP	-7.581537201
SRSF6	7.545996355
MMP14	7.537027788
DANCR	7.526457812
POP1	7.481747577
EPCAM	-7.429381552
KBTBD8	7.425392969
GAS6	-7.420110704
VEGFA	-7.41541059
GEM	7.41076558
PELI2	-7.397382046
RAP2B	7.372781651
TP53INP1	-7.361532983
ENTPD7	7.358067804
C1orf198	7.350722035
BIRC2	7.329688956
ZNF395	-7.325272612
BCL10	-7.287978274
AIF1L	-7.265752979
RAMP1	-7.265249533
CACNA2D1	-7.242887255
CLMN	-7.209198819
CALD1	-7.17031574
OPRL1	-7.11471911
SMIM14	-7.105040129
KLHL29	-7.0458757
