Day	January	February	March	April	May	June	July	August	September	October	November	December
1	18.3	12.4	16.5	21.9	22.2	30.1	30.1	29.5	27.9	26.6	23.9	19.8
2	18.9	10.4	16.6	21.3	25.6	30.3	29.4	27.1	28.7	27.6	22.8	20.5
3	19.3	12.5	18.7	23	26.5	30.3	29.4	26.8	28.1	27.5	21.8	21.3
4	20.6	15.2	20.2	23.6	25.8	28.7	30.1	26.9	28.2	27.5	22.4	22.3
5	20.7	14.8	20.8	22.3	28.1	26.9	29	29.3	27.1	28.6	23.8	23.3
6	20.9	13.6	21.8	23.1	28.4	26.2	27.3	30	26.7	28.5	24.2	20.8
7	18.8	13.7	19.7	23.9	28.7	28.1	30.2	30.4	26.5	27.7	25.3	19.9
8	18.4	14.8	20.1	25.3	28.7	27.1	31	30.5	27.1	28.1	24.6	19.2
9	18.1	16.7	20.8	25.7	28.7	28.2	31.5	29.2	27	26.5	20.7	19.4
10	18	16.6	13.4	23.3	26.6	27.9	28.6	26.7	26.3	25.3	17.7	20.8
11	18.1	18.8	11.9	21.5	25.5	26.6	28.9	27.2	28.1	24.5	20	20.4
12	17.3	19.2	13.6	20.3	25.1	27.1	28.1	28.1	28.7	24.6	23.3	21.1
13	16.1	23.1	15.8	21.8	25.5	29.7	28.6	28.8	28.2	26	24.7	22.9
14	16.5	21.7	15.3	23.1	25.4	30.2	28.9	27.3	29.6	26.7	25.4	21.4
15	15.1	13.2	14.8	21.1	26.6	30.3	30.2	26.6	29.4	27.2	25.7	18
16	16.4	12.8	15.3	24.7	24.8	29.4	30.6	26.2	29	28	24.6	15.2
17	17.8	12.9	16.5	25.9	23.7	29.4	30.6	26.5	29.3	26.6	24.8	16.6
18	15.2	13.7	19.5	23.1	24.5	29.3	30.4	27	28.6	24.8	24.8	19.2
19	16.4	15.3	22.4	20.5	25.5	30.1	29.9	28.2	28.6	25.1	25.8	20.3
20	15.5	16	19	21.6	25.2	30.8	29.2	29.2	25.5	27.3	25.6	21.3
21	16.1	15	17.1	24.6	26.5	30.6	30	27.4	27.1	26.1	24.7	21.9
22	14.1	16.1	16.6	23.7	27.2	30.5	30	29.3	27.2	27.5	22.7	22.4
23	8.5	15.5	18.4	24.9	26.8	30.4	30	29.7	27.7	27.1	20.5	20.2
24	4.9	13.7	15.3	24.4	27.5	31	30.4	30.1	27.9	27.3	17.3	18.1
25	7.4	14.8	13.7	26	28	31.4	30.8	30.4	28.1	27.3	20	19.5
26	10.4	15.2	15.8	27.2	27.6	31.3	29.4	30.4	28.5	27.1	17.6	21.4
27	13	15.5	17.3	26.8	27.5	31.1	30.2	29.7	31.1	27.5	16.2	16.6
28	16.1	16.6	16.9	26	27.7	29.1	30.1	27.6	30.4	28.2	18.1	14
29	16.6	18.5	17.7	24.1	29.1	29	30.3	26.7	26.5	26.7	19.2	15.9
30	17.6		20	22.5	29.8	30	29.9	28	25.1	24.4	19.7	16.6
31	15.7		21.5		29.9		30.1	28.6		25.5		18.2
